ts_ns,ax,ay,az,gx,gy,gz,mx,my,mz
1774594645572,-0.272939,-0.8762778,10.007763,0.31398472,-0.5180137,-0.25778514,-22.14,-2.8799999,-20.82
1774594645582,0.02873042,-0.5554548,9.816227,0.25900686,-0.59864795,-0.1966986,-22.439999,-2.76,-21.0
1774594645593,0.090979666,-0.50757074,10.007763,0.23579398,-0.65240407,-0.172264,-22.439999,-3.06,-20.699999
1774594645604,0.009576807,-0.5410896,10.371682,0.22968534,-0.68416905,-0.14782938,-22.859999,-3.3,-20.939999
1774594645614,-0.15801731,-0.79966336,10.831368,0.344528,-0.68416905,-0.1282817,-23.16,-3.4199998,-21.0
1774594645625,-0.23463176,-0.93852705,10.941502,0.4129449,-0.64996064,-0.1160644,-23.519999,-3.78,-20.58
1774594645636,-0.11492168,-0.9959879,10.745177,0.49480084,-0.5290093,-0.09407325,-23.16,-3.54,-20.58
1774594645646,0.79966336,-1.2880806,8.738836,0.4972443,-0.2406809,-0.10140363,-23.34,-3.4199998,-20.279999
1774594645656,1.0773908,-0.80924016,8.082825,0.26633725,-0.47525316,-0.2565634,-23.58,-3.78,-20.1
1774594645667,1.2306197,-0.1340753,8.499416,0.04642576,-0.59864795,-0.35796702,-23.939999,-4.02,-19.38
1774594645677,1.7956513,0.22984336,8.39886,-0.1600467,-0.77579886,-0.41538838,-24.06,-4.5,-18.72
1774594645689,1.8626889,-0.08140286,8.710106,-0.31764993,-0.9016371,-0.45814893,-24.0,-4.02,-18.72
1774594645700,1.7286136,-0.24899697,8.781932,-0.42638394,-0.96761054,-0.47891834,-24.66,-4.68,-18.9
1774594645710,1.460463,-0.49799395,9.519346,-0.5180137,-0.9944886,-0.4605924,-25.5,-5.22,-18.6
1774594645720,1.3455414,-0.6655881,9.849746,-0.52412236,-0.893085,-0.44348818,-25.8,-5.16,-19.02
1774594645732,1.5275006,-0.9624691,9.974244,-0.49602258,-0.81245077,-0.45204028,-25.8,-4.92,-18.84
1774594645742,1.5370775,-1.3503298,10.180145,-0.41905355,-0.689056,-0.43493605,-25.56,-3.54,-19.32
1774594645754,1.4652514,-1.2737153,10.400413,-0.33841935,-0.57787853,-0.4129449,-25.74,-3.54,-19.08
1774594645764,2.0207062,-1.2593501,10.237606,-0.2687807,-0.47403142,-0.40194935,-26.039999,-3.48,-19.08
1774594645776,1.9680338,-0.7086837,10.342952,-0.017104227,-0.2846632,-0.36041048,-26.76,-4.14,-18.72
1774594645787,2.3319526,-0.5602432,10.28549,0.11728613,-0.14905111,-0.34697145,-27.24,-4.74,-18.0
1774594645798,2.2409728,-0.5267244,10.16578,0.2125811,-0.04642576,-0.33475417,-27.18,-4.44,-18.119999
1774594645809,2.1691468,-0.59855044,9.744401,0.408058,0.18448131,-0.20158553,-27.72,-4.38,-18.48
1774594645820,2.2266076,-0.48362875,9.5385,0.4728097,0.28099802,-0.12095132,-27.359999,-4.02,-18.9
1774594645830,2.3511062,-0.29209262,9.155427,0.5290093,0.39706242,-0.035430185,-28.08,-5.4,-18.779999
